metric
publish_bytes
publish_msg_average_size
message_size_1024
message_size_10240
message_size_10752
message_size_11264
message_size_11776
message_size_12288
message_size_12800
message_size_13312
message_size_13824
message_size_14336
message_size_14848
message_size_1536
message_size_15360
message_size_15872
message_size_2048
message_size_2560
message_size_3072
message_size_3584
message_size_4096
message_size_4608
message_size_512
message_size_5120
message_size_5632
message_size_6144
message_size_6656
message_size_7168
message_size_7680
message_size_8192
message_size_8704
message_size_9216
message_size_9728
